airfire: @sms.airfiremobile.com
alltel: @message.alltel.com
allied: @sms.alltelwireless.com
alaska: @msg.acsalaska.com
ameritech: @paging.acswireless.com
assurance: @vmobl.com
at&t: @txt.att.net
bellsouth: @bellsouth.cl
bluegrass: @sms.bluecell.com
bluesky: @psms.bluesky.as
blueskyfrog: @blueskyfrog.com
boostmobile: @sms.myboostmobile.com
carolinawest: @cwwsms.com
cellcom: @cellcom.quiktxt.com
cellularsouth: @csouth1.com
centennial: @cwemail.com
chariton: @sms.cvalley.net
chat: @mail.msgsender.com
cincinnati: @gocbw.com
cingular: @cingular.com
cleartalk: @sms.cleartalk.us
xit: @sms.xit.net
comcast: @comcastpcs.textmsg.com
consumer: @mailmymobile.net
cricket: @sms.mycricket.com
cspire: @cspire1.com
dtc: @sms.advantagecell.net
element: @sms.elementmobile.net
esendex: @echoemail.net
general: @mobile.gci.net
golden: @gscsms.com
google: @txt.voice.google.com
greatcall: @vtext.com
helio: @myhelio.com
kajeet: @mobile.kajeet.net
longlines: @text.longlines.com
metro: @mymetropcs.com
nextech: @sms.nextechwireless.com
nextel: @messaging.nextel.com
pageplus: @vtext.com
pioneer: @zsend.com
project_fi: @msg.fi.google.com
psc: @sms.pscel.com
rogers: @sms.rogers.com
qwest: @qwestmp.com
solavei: @tmomail.net
south: @rinasms.com
southernlink: @page.southernlinc.com
sprint: @messaging.sprintpcs.com
straight: @vtext.com
syringa: @rinasms.com
t-mobile: @tmomail.net
teleflip: @teleflip.com
ting: @message.ting.com
tracfone: @mmst5.tracfone.com
telus: @msg.telus.com
unicel: @utext.com
verizon: @vtext.com
viaero: @viaerosms.com
virgin: @vmobl.com
voyager: @text.voyagermobile.com
orange: @sms.orange.ci

